time,watt_hi.common@irr_1:VALUE,watt_hi.common@irr_2:VALUE,watt_hi.common@irr_3:VALUE,watt.common@irr_dav_1:VALUE
2025-07-12 02:59:22,0.0,0.0,0.0,-0.0373972602739726
2025-07-12 03:00:22,0.0,0.0,0.0,-0.02301369863013698
2025-07-12 03:01:22,0.0,0.0,0.0,-0.008630136986301367
2025-07-12 03:02:22,0.0,0.0,0.0,0.005753424657534251
2025-07-12 03:03:22,0.0,0.0,0.0,0.02013698630136987
2025-07-12 03:04:22,0.0,0.0,0.0,0.03452054794520548
2025-07-12 03:05:22,0.0,0.0,0.0,0.0489041095890411
2025-07-12 03:06:22,0.0,0.0,0.0,0.06328767123287672
2025-07-12 03:07:22,0.0,0.0,0.0,0.07439108061749572
2025-07-12 03:08:22,0.0,0.0,0.0,0.08262435677530018
2025-07-12 03:09:22,0.0,0.0,0.0,0.09085763293310464
2025-07-12 03:10:22,0.0,0.0,0.0,0.0990909090909091
2025-07-12 03:11:22,0.0,0.0,0.0,0.1073241852487136
2025-07-12 03:12:22,0.0,0.0,0.0,0.115557461406518
2025-07-12 03:13:22,0.0,0.0,0.0,0.1237907375643225
2025-07-12 03:14:22,0.0,0.0,0.0,0.1320240137221269
2025-07-12 03:15:22,0.0,0.0,0.0,0.1402572898799314
2025-07-12 03:16:22,0.0,0.0,0.0,0.1484905660377358
2025-07-12 03:17:22,0.0,0.0,0.0,0.1432646048109966
2025-07-12 03:18:22,0.0,0.0,0.0,0.1350171821305842
2025-07-12 03:19:22,0.0,0.0,0.0,0.1267697594501718
2025-07-12 03:20:22,0.0,0.0,0.0,0.1185223367697595
2025-07-12 03:21:22,0.0,0.0,0.0,0.1102749140893471
2025-07-12 03:22:22,0.0,0.0,0.0,0.1020274914089347
2025-07-12 03:23:22,0.0,0.0,0.0,0.09378006872852235
2025-07-12 03:24:22,0.0,0.0,0.0,0.08553264604810998
2025-07-12 03:25:22,0.0,0.0,0.0,0.07728522336769761
2025-07-12 03:26:22,0.0,0.0,0.0,0.07
2025-07-12 03:27:22,0.0,0.0,0.0,0.07
2025-07-12 03:28:22,0.0,0.0,0.0,0.07
2025-07-12 03:29:22,0.0,0.0,0.0,0.07
2025-07-12 03:30:22,0.0,0.0,0.0,0.07
2025-07-12 03:31:22,0.0,0.0,0.0,0.07
2025-07-12 03:32:22,0.0,0.0,0.0,0.07
2025-07-12 03:33:22,0.0,0.0,0.0,0.07
