time,watt_hi.common@irr_1:MAX_VALUE,watt_hi.common@irr_2:MAX_VALUE,watt_hi.common@irr_3:MAX_VALUE,watt.common@irr_dav_1:MAX_VALUE
1970-01-01 00:00:01.755488312+01:00,0.0,0.0,0.0,3.272813186813186
1970-01-01 00:00:01.755488315+01:00,0.0,0.0,0.0,3.283626373626373
1970-01-01 00:00:01.755488318+01:00,0.0,0.0,0.0,3.29443956043956
1970-01-01 00:00:01.755488321+01:00,0.0,0.0,0.0,3.305252747252747
1970-01-01 00:00:01.755488324+01:00,0.0,0.0,0.0,3.316065934065934
1970-01-01 00:00:01.755488327+01:00,0.0,0.0,0.0,3.326879120879121
1970-01-01 00:00:01.755488330+01:00,0.0,0.0,0.0,3.337692307692308
1970-01-01 00:00:01.755488333+01:00,0.0,0.0,0.0,3.348505494505495
1970-01-01 00:00:01.755488336+01:00,0.0,0.0,0.0,3.359318681318681
1970-01-01 00:00:01.755488339+01:00,0.0,0.0,0.0,3.370131868131868
1970-01-01 00:00:01.755488342+01:00,0.0,0.0,0.0,3.380945054945055
1970-01-01 00:00:01.755488345+01:00,0.0,0.0,0.0,3.391758241758242
1970-01-01 00:00:01.755488348+01:00,0.0,0.0,0.0,3.402571428571429
1970-01-01 00:00:01.755488351+01:00,0.0,0.0,0.0,3.413384615384616
1970-01-01 00:00:01.755488354+01:00,0.0,0.0,0.0,3.424197802197803
1970-01-01 00:00:01.755488357+01:00,0.0,0.0,0.0,3.43501098901099
1970-01-01 00:00:01.755488360+01:00,0.0,0.0,0.0,3.445824175824177
1970-01-01 00:00:01.755488363+01:00,0.0,0.0,0.0,3.456637362637363
1970-01-01 00:00:01.755488366+01:00,0.0,0.0,0.0,3.46745054945055
1970-01-01 00:00:01.755488369+01:00,0.0,0.0,0.0,3.478263736263737
1970-01-01 00:00:01.755488372+01:00,0.0,0.0,0.0,3.489076923076924
1970-01-01 00:00:01.755488375+01:00,0.0,0.0,0.0,3.499890109890111
1970-01-01 00:00:01.755488378+01:00,0.0,0.0,0.0,3.510703296703298
1970-01-01 00:00:01.755488381+01:00,0.0,0.0,0.0,3.521516483516484
1970-01-01 00:00:01.755488384+01:00,0.0,0.0,0.0,3.532329670329671
1970-01-01 00:00:01.755488387+01:00,0.0,0.0,0.0,3.543142857142858
1970-01-01 00:00:01.755488390+01:00,0.0,0.0,0.0,3.553956043956044
1970-01-01 00:00:01.755488393+01:00,0.0,0.0,0.0,3.564769230769231
1970-01-01 00:00:01.755488396+01:00,0.0,0.0,0.0,3.575582417582418
1970-01-01 00:00:01.755488399+01:00,0.0,0.0,0.0,3.586395604395604
1970-01-01 00:00:01.755488402+01:00,0.0,0.0,0.0,3.597058823529411
1970-01-01 00:00:01.755488405+01:00,0.0,0.0,0.0,3.607647058823529
1970-01-01 00:00:01.755488408+01:00,0.0,0.0,0.0,3.618235294117647
1970-01-01 00:00:01.755488411+01:00,0.0,0.0,0.0,3.628823529411765
1970-01-01 00:00:01.755488414+01:00,0.0,0.0,0.0,3.639411764705883
1970-01-01 00:00:01.755488417+01:00,0.0,0.0,0.0,3.65
1970-01-01 00:00:01.755488420+01:00,0.0,0.0,0.0,3.660588235294118
1970-01-01 00:00:01.755488423+01:00,0.0,0.0,0.0,3.671176470588236
1970-01-01 00:00:01.755488426+01:00,0.0,0.0,0.0,3.681764705882354
1970-01-01 00:00:01.755488429+01:00,0.0,0.0,0.0,3.692352941176472
1970-01-01 00:00:01.755488432+01:00,0.0,0.0,0.0,3.702941176470589
1970-01-01 00:00:01.755488435+01:00,0.0,0.0,0.0,3.713529411764707
1970-01-01 00:00:01.755488438+01:00,0.0,0.0,0.0,3.724117647058825
1970-01-01 00:00:01.755488441+01:00,0.0,0.0,0.0,3.734705882352943
1970-01-01 00:00:01.755488444+01:00,0.0,0.0,0.0,3.74529411764706
1970-01-01 00:00:01.755488447+01:00,0.0,0.0,0.0,3.755882352941178
1970-01-01 00:00:01.755488450+01:00,0.0,0.0,0.0,3.766470588235296
1970-01-01 00:00:01.755488453+01:00,0.0,0.0,0.0,3.777058823529414
1970-01-01 00:00:01.755488456+01:00,0.0,0.0,0.0,3.787647058823532
1970-01-01 00:00:01.755488459+01:00,0.0,0.0,0.0,3.798235294117649
1970-01-01 00:00:01.755488462+01:00,0.0,0.0,0.0,3.808823529411767
1970-01-01 00:00:01.755488465+01:00,0.0,0.0,0.0,3.819411764705885
1970-01-01 00:00:01.755488468+01:00,0.0,0.0,0.0,3.830000000000003
1970-01-01 00:00:01.755488471+01:00,0.0,0.0,0.0,3.840588235294121
1970-01-01 00:00:01.755488474+01:00,0.0,0.0,0.0,3.851176470588238
1970-01-01 00:00:01.755488477+01:00,0.0,0.0,0.0,3.861764705882356
1970-01-01 00:00:01.755488480+01:00,0.0,0.0,0.0,3.872352941176474
1970-01-01 00:00:01.755488483+01:00,0.0,0.0,0.0,3.882941176470592
1970-01-01 00:00:01.755488486+01:00,0.0,0.0,0.0,3.893529411764709
1970-01-01 00:00:01.755488489+01:00,0.0,0.0,0.0,3.904117647058827
1970-01-01 00:00:01.755488492+01:00,0.0,0.0,0.0,3.914705882352945
1970-01-01 00:00:01.755488495+01:00,0.0,0.0,0.0,3.925294117647063
1970-01-01 00:00:01.755488498+01:00,0.0,0.0,0.0,3.935882352941181
1970-01-01 00:00:01.755488501+01:00,0.0,0.0,0.0,3.946470588235298
1970-01-01 00:00:01.755488504+01:00,0.0,0.0,0.0,3.957058823529416
1970-01-01 00:00:01.755488507+01:00,0.0,0.0,0.0,3.967647058823534
1970-01-01 00:00:01.755488510+01:00,0.0,0.0,0.0,3.978235294117652
1970-01-01 00:00:01.755488513+01:00,0.0,0.0,0.0,3.98882352941177
1970-01-01 00:00:01.755488516+01:00,0.0,0.0,0.0,3.999411764705887
1970-01-01 00:00:01.755488519+01:00,0.0,0.0,0.0,4.010000000000005
1970-01-01 00:00:01.755488522+01:00,0.0,0.0,0.0,4.020588235294123
1970-01-01 00:00:01.755488525+01:00,0.0,0.0,0.0,4.031176470588241
1970-01-01 00:00:01.755488528+01:00,0.0,0.0,0.0,4.041764705882358
1970-01-01 00:00:01.755488531+01:00,0.0,0.0,0.0,4.052352941176476
1970-01-01 00:00:01.755488534+01:00,0.0,0.0,0.0,4.062941176470594
1970-01-01 00:00:01.755488537+01:00,0.0,0.0,0.0,4.073529411764712
1970-01-01 00:00:01.755488540+01:00,0.0,0.0,0.0,4.08411764705883
1970-01-01 00:00:01.755488543+01:00,0.0,0.0,0.0,4.094705882352947
1970-01-01 00:00:01.755488546+01:00,0.0,0.0,0.0,4.105294117647065
1970-01-01 00:00:01.755488549+01:00,0.0,0.0,0.0,4.115882352941183
1970-01-01 00:00:01.755488552+01:00,0.0,0.0,0.0,4.126470588235301
1970-01-01 00:00:01.755488555+01:00,0.0,0.0,0.0,4.137058823529419
1970-01-01 00:00:01.755488558+01:00,0.0,0.0,0.0,4.147647058823536
1970-01-01 00:00:01.755488561+01:00,0.0,0.0,0.0,4.158235294117654
1970-01-01 00:00:01.755488564+01:00,0.0,0.0,0.0,4.168823529411772
1970-01-01 00:00:01.755488567+01:00,0.0,0.0,0.0,4.17941176470589
1970-01-01 00:00:01.755488570+01:00,0.0,0.0,0.0,4.190000000000007
1970-01-01 00:00:01.755488573+01:00,0.0,0.0,0.0,4.200588235294125
1970-01-01 00:00:01.755488576+01:00,0.0,0.0,0.0,4.211176470588243
1970-01-01 00:00:01.755488579+01:00,0.0,0.0,0.0,4.221764705882361
1970-01-01 00:00:01.755488582+01:00,0.0,0.0,0.0,4.232352941176479
1970-01-01 00:00:01.755488585+01:00,0.0,0.0,0.0,4.242941176470596
1970-01-01 00:00:01.755488588+01:00,0.0,0.0,0.0,4.253529411764714
1970-01-01 00:00:01.755488591+01:00,0.0,0.0,0.0,4.264117647058832
1970-01-01 00:00:01.755488594+01:00,0.0,0.0,0.0,4.27470588235295
1970-01-01 00:00:01.755488597+01:00,0.0,0.0,0.0,4.285294117647068
1970-01-01 00:00:01.755488600+01:00,0.0,0.0,0.0,4.295882352941185
1970-01-01 00:00:01.755488603+01:00,0.0,0.0,0.0,4.306470588235303
1970-01-01 00:00:01.755488606+01:00,0.0,0.0,0.0,4.317058823529421
1970-01-01 00:00:01.755488609+01:00,0.0,0.0,0.0,4.327647058823539
1970-01-01 00:00:01.755488612+01:00,0.0,0.0,0.0,4.338235294117657
1970-01-01 00:00:01.755488615+01:00,0.0,0.0,0.0,4.348823529411774
1970-01-01 00:00:01.755488618+01:00,0.0,0.0,0.0,4.359411764705892
1970-01-01 00:00:01.755488621+01:00,0.0,0.0,0.0,4.37000000000001
1970-01-01 00:00:01.755488624+01:00,0.0,0.0,0.0,4.380588235294128
1970-01-01 00:00:01.755488627+01:00,0.0,0.0,0.0,4.391176470588245
1970-01-01 00:00:01.755488630+01:00,0.0,0.0,0.0,4.401764705882363
1970-01-01 00:00:01.755488633+01:00,0.0,0.0,0.0,4.412352941176481
1970-01-01 00:00:01.755488636+01:00,0.0,0.0,0.0,4.422941176470599
1970-01-01 00:00:01.755488639+01:00,0.0,0.0,0.0,4.433529411764717
1970-01-01 00:00:01.755488642+01:00,0.0,0.0,0.0,4.444117647058834
1970-01-01 00:00:01.755488645+01:00,0.0,0.0,0.0,4.454705882352952
1970-01-01 00:00:01.755488648+01:00,0.0,0.0,0.0,4.46529411764707
1970-01-01 00:00:01.755488651+01:00,0.0,0.0,0.0,4.475882352941188
1970-01-01 00:00:01.755488654+01:00,0.0,0.0,0.0,4.486470588235306
1970-01-01 00:00:01.755488657+01:00,0.0,0.0,0.0,4.497058823529423
1970-01-01 00:00:01.755488660+01:00,0.0,0.0,0.0,4.507647058823541
1970-01-01 00:00:01.755488663+01:00,0.0,0.0,0.0,4.518235294117659
1970-01-01 00:00:01.755488666+01:00,0.0,0.0,0.0,4.528823529411777
1970-01-01 00:00:01.755488669+01:00,0.0,0.0,0.0,4.539411764705894
1970-01-01 00:00:01.755488672+01:00,0.0,0.0,0.0,4.550000000000012
1970-01-01 00:00:01.755488675+01:00,0.0,0.0,0.0,4.56058823529413
1970-01-01 00:00:01.755488678+01:00,0.0,0.0,0.0,4.571176470588248
1970-01-01 00:00:01.755488681+01:00,0.0,0.0,0.0,4.581764705882366
1970-01-01 00:00:01.755488684+01:00,0.0,0.0,0.0,4.592352941176483
1970-01-01 00:00:01.755488687+01:00,0.0,0.0,0.0,4.602941176470601
1970-01-01 00:00:01.755488690+01:00,0.0,0.0,0.0,4.613529411764719
1970-01-01 00:00:01.755488693+01:00,0.0,0.0,0.0,4.624117647058837
1970-01-01 00:00:01.755488696+01:00,0.0,0.0,0.0,4.634705882352954
1970-01-01 00:00:01.755488699+01:00,0.0,0.0,0.0,4.645294117647071
1970-01-01 00:00:01.755488702+01:00,0.0,0.0,0.0,4.655882352941189
1970-01-01 00:00:01.755488705+01:00,0.0,0.0,0.0,4.666470588235306
1970-01-01 00:00:01.755488708+01:00,0.0,0.0,0.0,4.677058823529423
1970-01-01 00:00:01.755488711+01:00,0.0,0.0,0.0,4.687647058823541
1970-01-01 00:00:01.755488714+01:00,0.0,0.0,0.0,4.698235294117659
1970-01-01 00:00:01.755488717+01:00,0.0,0.0,0.0,4.708823529411776
1970-01-01 00:00:01.755488720+01:00,0.0,0.0,0.0,4.719411764705892
1970-01-01 00:00:01.755488723+01:00,0.0,0.0,0.0,4.73000000000001
1970-01-01 00:00:01.755488726+01:00,0.0,0.0,0.0,4.740588235294128
1970-01-01 00:00:01.755488729+01:00,0.0,0.0,0.0,4.751176470588245
1970-01-01 00:00:01.755488732+01:00,0.0,0.0,0.0,4.761764705882362
1970-01-01 00:00:01.755488735+01:00,0.0,0.0,0.0,4.77235294117648
1970-01-01 00:00:01.755488738+01:00,0.0,0.0,0.0,4.782941176470597
1970-01-01 00:00:01.755488741+01:00,0.0,0.0,0.0,4.793529411764714
1970-01-01 00:00:01.755488744+01:00,0.0,0.0,0.0,4.804117647058831
1970-01-01 00:00:01.755488747+01:00,0.0,0.0,0.0,4.814705882352949
