time,watt_hi.common@irr_1:VALUE,watt_hi.common@irr_2:VALUE,watt_hi.common@irr_3:VALUE,watt.common@irr_dav_1:VALUE
2025-07-21 04:17:05+02:00,0.0,0.0,0.0,0.3804123711340206
2025-07-21 04:18:05+02:00,0.0,0.0,0.0,0.4731958762886598
2025-07-21 04:19:05+02:00,0.0,0.0,0.0,0.565979381443299
2025-07-21 04:20:05+02:00,0.0,0.0,0.0,0.6587628865979381
2025-07-21 04:21:05+02:00,0.0,0.0,0.0,0.7515463917525773
2025-07-21 04:22:05+02:00,0.0,0.0,0.0,0.8443298969072165
2025-07-21 04:23:05+02:00,0.0,0.0,0.0,0.9371134020618556
2025-07-21 04:24:05+02:00,0.0,0.0,0.0,1.029896907216495
2025-07-21 04:25:05+02:00,0.0,0.0,0.0,1.128468158347677
2025-07-21 04:26:05+02:00,0.0,0.0,0.0,1.228640275387263
2025-07-21 04:27:05+02:00,0.0,0.0,0.0,1.32881239242685
2025-07-21 04:28:05+02:00,0.0,0.0,0.0,1.428984509466437
2025-07-21 04:29:05+02:00,0.0,0.0,0.0,1.529156626506024
2025-07-21 04:30:05+02:00,0.0,0.0,0.0,1.629328743545611
2025-07-21 04:31:05+02:00,0.0,0.0,0.0,1.729500860585198
2025-07-21 04:32:05+02:00,0.0,0.0,0.0,1.829672977624785
2025-07-21 04:33:05+02:00,0.0,0.0,0.0,1.929845094664372
2025-07-21 04:34:05+02:00,0.0,0.0,0.0,2.037716535433071
2025-07-21 04:35:05+02:00,0.0,0.0,0.0,2.21488188976378
2025-07-21 04:36:05+02:00,0.0,0.0,0.0,2.392047244094488
2025-07-21 04:37:05+02:00,0.0,0.0,0.0,2.569212598425197
2025-07-21 04:38:05+02:00,0.0,0.0,0.0,2.746377952755906
2025-07-21 04:39:05+02:00,0.0,0.0,0.0,2.923543307086614
2025-07-21 04:40:05+02:00,0.0,0.0,0.0,3.100708661417323
2025-07-21 04:41:05+02:00,0.0,0.0,0.0,3.277874015748031
2025-07-21 04:42:05+02:00,0.0,0.0068846815834767,0.0,3.45503937007874
2025-07-21 04:43:05+02:00,0.0655172413793103,0.1101549053356282,0.0,3.658422273781903
2025-07-21 04:44:05+02:00,0.1689655172413793,0.2134251290877797,0.0,3.876983758700696
2025-07-21 04:45:05+02:00,0.2724137931034483,0.3166953528399312,0.070446735395189,4.095545243619489
2025-07-21 04:46:05+02:00,0.3758620689655172,0.4199655765920826,0.1735395189003436,4.314106728538283
2025-07-21 04:47:05+02:00,0.4793103448275862,0.5232358003442341,0.2766323024054983,4.532668213457076
2025-07-21 04:48:05+02:00,0.5827586206896551,0.6265060240963856,0.379725085910653,4.75122969837587
2025-07-21 04:49:05+02:00,0.6862068965517241,0.729776247848537,0.4828178694158076,4.969791183294663
2025-07-21 04:50:05+02:00,0.789655172413793,0.8330464716006885,0.5859106529209622,5.225865384615385
2025-07-21 04:51:05+02:00,0.8931034482758621,0.93631669535284,0.6890034364261168,5.527788461538462
2025-07-21 04:52:05+02:00,0.996551724137931,1.0,0.7920962199312714,5.829711538461539
2025-07-21 04:53:05+02:00,1.0,1.0,0.895189003436426,6.131634615384616
2025-07-21 04:54:05+02:00,1.0,1.0,0.9982817869415808,6.433557692307692
2025-07-21 04:55:05+02:00,1.0,1.0,1.0,6.72198347107438
2025-07-21 04:56:05+02:00,1.0,1.0,1.0,6.9699173553719
2025-07-21 04:57:05+02:00,1.0,1.0,1.0,7.217851239669422
2025-07-21 04:58:05+02:00,1.0,1.0,1.0,7.465785123966942
2025-07-21 04:59:05+02:00,1.0,1.0,1.0,7.713719008264463
2025-07-21 05:00:05+02:00,1.0,1.0,1.0,7.961652892561983
2025-07-21 05:01:05+02:00,1.0,1.0,1.0,8.279205298013245
2025-07-21 05:02:05+02:00,1.029059829059829,1.066895368782161,1.0,8.875231788079471
2025-07-21 05:03:05+02:00,1.131623931623932,1.169811320754717,1.0,9.471258278145696
2025-07-21 05:04:05+02:00,1.234188034188034,1.272727272727273,1.027397260273973,9.825208845208843
2025-07-21 05:05:05+02:00,1.336752136752137,1.375643224699828,1.13013698630137,10.06697788697789
2025-07-21 05:06:05+02:00,1.43931623931624,1.478559176672384,1.232876712328767,10.30874692874693
2025-07-21 05:07:05+02:00,1.541880341880342,1.58147512864494,1.335616438356164,10.55051597051597
2025-07-21 05:08:05+02:00,1.644444444444445,1.684391080617496,1.438356164383562,10.79228501228501
2025-07-21 05:09:05+02:00,1.747008547008547,1.787307032590052,1.541095890410959,11.03405405405405
2025-07-21 05:10:05+02:00,1.84957264957265,1.890222984562607,1.643835616438356,11.2758230958231
2025-07-21 05:11:05+02:00,1.952136752136752,1.993138936535163,1.746575342465753,11.66076595744681
2025-07-21 05:12:05+02:00,2.054982817869416,2.096551724137931,1.849315068493151,12.0616170212766
2025-07-21 05:13:05+02:00,2.15807560137457,2.2,1.952054794520548,12.46246808510638
2025-07-21 05:14:05+02:00,2.261168384879725,2.303448275862069,2.055172413793104,12.86331914893617
2025-07-21 05:15:05+02:00,2.36426116838488,2.406896551724138,2.158620689655173,13.6404132231405
2025-07-21 05:16:05+02:00,2.467353951890034,2.510344827586207,2.262068965517241,14.42388429752066
2025-07-21 05:17:05+02:00,2.570446735395189,2.613793103448276,2.36551724137931,14.71242074927954
2025-07-21 05:18:05+02:00,2.673539518900344,2.717241379310345,2.468965517241379,14.98389048991354
2025-07-21 05:19:05+02:00,2.776632302405499,2.820689655172414,2.572413793103448,15.25536023054755
2025-07-21 05:20:05+02:00,2.879725085910653,2.924137931034483,2.675862068965517,15.52682997118155
2025-07-21 05:21:05+02:00,2.982817869415808,3.027538726333907,2.779310344827586,15.79829971181556
2025-07-21 05:22:05+02:00,3.086058519793459,3.130808950086059,2.882758620689655,16.63678571428571
2025-07-21 05:23:05+02:00,3.189328743545611,3.23407917383821,2.986206896551724,19.16
2025-07-21 05:24:05+02:00,3.292598967297763,3.337349397590362,3.089655172413793,19.45032258064516
2025-07-21 05:25:05+02:00,3.395869191049914,3.440619621342513,3.193103448275862,19.74064516129032
2025-07-21 05:26:05+02:00,3.499139414802066,3.543889845094665,3.296551724137931,20.03096774193548
2025-07-21 05:27:05+02:00,3.602409638554217,3.647160068846816,3.4,20.32129032258064
2025-07-21 05:28:05+02:00,3.705679862306368,3.750430292598967,3.503448275862069,20.61161290322581
2025-07-21 05:29:05+02:00,3.80895008605852,3.853700516351119,3.606896551724138,22.72627906976744
2025-07-21 05:30:05+02:00,3.912220309810671,3.95697074010327,3.710344827586207,23.55883720930233
2025-07-21 05:31:05+02:00,4.031802120141343,4.060137457044673,3.813793103448276,23.29230769230769
2025-07-21 05:32:05+02:00,4.243816254416961,4.163230240549828,3.917241379310345,22.85921875
2025-07-21 05:33:05+02:00,4.455830388692579,4.266323024054982,4.047904191616767,23.22953125
2025-07-21 05:34:05+02:00,4.667844522968197,4.369415807560137,4.287425149700599,23.59984375
2025-07-21 05:35:05+02:00,4.879858657243815,4.472508591065292,4.526946107784432,23.97015625
2025-07-21 05:36:05+02:00,5.091872791519434,4.575601374570446,4.766467065868264,25.98392405063291
2025-07-21 05:37:05+02:00,5.303886925795052,4.678694158075601,5.005988023952097,26.40164556962025
2025-07-21 05:38:05+02:00,5.515901060070671,4.781786941580756,5.245508982035929,26.8193670886076
2025-07-21 05:39:05+02:00,5.72791519434629,4.88487972508591,5.485029940119762,27.23708860759494
2025-07-21 05:40:05+02:00,5.939929328621908,4.987972508591065,5.724550898203593,27.92
2025-07-21 05:41:05+02:00,6.074010327022375,5.281167108753316,5.964071856287426,30.52
2025-07-21 05:42:05+02:00,6.177280550774526,5.59946949602122,6.087779690189329,33.3475
2025-07-21 05:43:05+02:00,6.280550774526677,5.917771883289125,6.19104991394148,34.0975
