time,watt_hi.common@irr_1:VALUE,watt_hi.common@irr_2:VALUE,watt_hi.common@irr_3:VALUE,watt.common@irr_dav_1:VALUE
2025-07-15 02:52:59+02:00,0.0,0.0,0.0,0.0140721649484536
2025-07-15 02:53:59+02:00,0.0,0.0,0.0,0.0068556701030927
2025-07-15 02:54:59+02:00,0.0,0.0,0.0,0.0
2025-07-15 02:55:59+02:00,0.0,0.0,0.0,0.0
2025-07-15 02:56:59+02:00,0.0,0.0,0.0,0.0
2025-07-15 02:57:59+02:00,0.0,0.0,0.0,0.0
2025-07-15 02:58:59+02:00,0.0,0.0,0.0,0.0
2025-07-15 02:59:59+02:00,0.0,0.0,0.0,0.0
2025-07-15 03:00:59+02:00,0.0,0.0,0.0,0.0
2025-07-15 03:01:59+02:00,0.0,0.0,0.0,0.0
2025-07-15 03:02:59+02:00,0.0,0.0,0.0,0.0
2025-07-15 03:03:59+02:00,0.0,0.0,0.0,0.0
2025-07-15 03:04:59+02:00,0.0,0.0,0.0,0.0020689655172413
2025-07-15 03:05:59+02:00,0.0,0.0,0.0,0.0175862068965517
2025-07-15 03:06:59+02:00,0.0,0.0,0.0,0.033103448275862
2025-07-15 03:07:59+02:00,0.0,0.0,0.0,0.0486206896551724
2025-07-15 03:08:59+02:00,0.0,0.0,0.0,0.0641379310344827
2025-07-15 03:09:59+02:00,0.0,0.0,0.0,0.0796551724137931
2025-07-15 03:10:59+02:00,0.0,0.0,0.0,0.0951724137931034
2025-07-15 03:11:59+02:00,0.0,0.0,0.0,0.1106896551724138
2025-07-15 03:12:59+02:00,0.0,0.0,0.0,0.1262068965517242
2025-07-15 03:13:59+02:00,0.0,0.0,0.0,0.1417241379310345
2025-07-15 03:14:59+02:00,0.0,0.0,0.0,0.1427835051546392
2025-07-15 03:15:59+02:00,0.0,0.0,0.0,0.127319587628866
2025-07-15 03:16:59+02:00,0.0,0.0,0.0,0.1118556701030928
2025-07-15 03:17:59+02:00,0.0,0.0,0.0,0.0963917525773195
2025-07-15 03:18:59+02:00,0.0,0.0,0.0,0.0809278350515463
2025-07-15 03:19:59+02:00,0.0,0.0,0.0,0.0654639175257731
2025-07-15 03:20:59+02:00,0.0,0.0,0.0,0.0499999999999999
2025-07-15 03:21:59+02:00,0.0,0.0,0.0,0.0345360824742268
2025-07-15 03:22:59+02:00,0.0,0.0,0.0,0.0190721649484536
2025-07-15 03:23:59+02:00,0.0,0.0,0.0,0.0036082474226804
2025-07-15 03:24:59+02:00,0.0,0.0,0.0,0.0055421686746987
2025-07-15 03:25:59+02:00,0.0,0.0,0.0,0.0127710843373494
2025-07-15 03:26:59+02:00,0.0,0.0,0.0,0.02
2025-07-15 03:27:59+02:00,0.0,0.0,0.0,0.0272289156626506
2025-07-15 03:28:59+02:00,0.0,0.0,0.0,0.0344578313253012
2025-07-15 03:29:59+02:00,0.0,0.0,0.0,0.0416867469879518
2025-07-15 03:30:59+02:00,0.0,0.0,0.0,0.0489156626506024
