time,watt_hi.common@irr_1:MAX_VALUE,watt_hi.common@irr_2:MAX_VALUE,watt_hi.common@irr_3:MAX_VALUE,watt.common@irr_dav_1:MAX_VALUE
1970-01-01 00:00:01.755518592+01:00,52.0,57.0,57.0,346.18
1970-01-01 00:00:01.755518602+01:00,52.0,56.0,57.0,364.6
1970-01-01 00:00:01.755518612+01:00,50.0,54.5,56.83333333333334,375.7733333333334
1970-01-01 00:00:01.755518622+01:00,59.0,65.5,67.0,411.38
1970-01-01 00:00:01.755518632+01:00,76.0,87.0,88.0,633.0866666666667
1970-01-01 00:00:01.755518642+01:00,86.0,93.0,94.0,641.62
1970-01-01 00:00:01.755518652+01:00,63.0,69.0,71.0,489.97
1970-01-01 00:00:01.755518662+01:00,63.0,66.66666666666667,68.66666666666667,440.34
1970-01-01 00:00:01.755518672+01:00,54.8,57.8,61.6,375.45
1970-01-01 00:00:01.755518682+01:00,44.0,47.0,49.0,303.29
1970-01-01 00:00:01.755518692+01:00,41.46666666666667,44.83333333333334,46.46666666666667,297.01
1970-01-01 00:00:01.755518702+01:00,41.28571428571428,44.28571428571428,45.13333333333333,283.06
1970-01-01 00:00:01.755518712+01:00,42.71428571428572,45.71428571428572,45.0,310.7
1970-01-01 00:00:01.755518722+01:00,49.0,53.0,55.0,337.3233333333333
1970-01-01 00:00:01.755518732+01:00,64.0,68.0,72.0,484.28
1970-01-01 00:00:01.755518742+01:00,64.0,70.0,72.0,457.1333333333333
1970-01-01 00:00:01.755518752+01:00,55.0,56.0,58.0,374.59
1970-01-01 00:00:01.755518762+01:00,66.0,74.0,76.0,506.14
1970-01-01 00:00:01.755518772+01:00,62.66666666666666,70.66666666666667,72.66666666666667,502.525
1970-01-01 00:00:01.755518782+01:00,77.0,82.0,83.0,577.62
1970-01-01 00:00:01.755518792+01:00,60.0,68.25,68.5,375.205
1970-01-01 00:00:01.755518802+01:00,47.5,52.75,53.75,325.4075
1970-01-01 00:00:01.755518812+01:00,48.16666666666666,55.61111111111111,57.55555555555556,432.445
1970-01-01 00:00:01.755518822+01:00,99.0,106.0,110.0,751.05
1970-01-01 00:00:01.755518832+01:00,99.0,106.0,110.0,747.0799999999999
1970-01-01 00:00:01.755518842+01:00,89.25,95.25,101.5,687.05
1970-01-01 00:00:01.755518852+01:00,61.0,62.66666666666666,66.0,425.0266666666667
1970-01-01 00:00:01.755518862+01:00,58.0,60.0,64.0,433.61
1970-01-01 00:00:01.755518872+01:00,43.0,45.0,48.0,281.96
1970-01-01 00:00:01.755518882+01:00,36.77777777777778,39.11111111111111,40.11111111111111,258.6333333333333
1970-01-01 00:00:01.755518892+01:00,34.93548387096774,37.73684210526316,38.64285714285715,249.6233333333333
1970-01-01 00:00:01.755518902+01:00,34.61290322580646,37.21052631578947,37.92857142857143,245.73
1970-01-01 00:00:01.755518912+01:00,34.29032258064517,36.68421052631579,37.21428571428572,243.2790909090909
1970-01-01 00:00:01.755518922+01:00,33.96774193548387,36.19178082191781,37.40963855421687,241.17
1970-01-01 00:00:01.755518932+01:00,33.64516129032258,36.46575342465754,37.65060240963856,239.1972727272727
1970-01-01 00:00:01.755518942+01:00,33.3225806451613,36.73972602739726,37.89156626506024,237.7538461538462
1970-01-01 00:00:01.755518952+01:00,33.46511627906977,37.01369863013699,38.13253012048193,238.2181818181818
1970-01-01 00:00:01.755518962+01:00,33.93023255813954,37.28767123287671,38.37349397590361,238.8545454545455
1970-01-01 00:00:01.755518972+01:00,34.3953488372093,37.56164383561644,38.6144578313253,241.09
1970-01-01 00:00:01.755518982+01:00,34.86046511627907,37.83561643835616,38.85542168674699,248.52
1970-01-01 00:00:01.755518992+01:00,36.55555555555556,39.33333333333334,40.33333333333334,265.5466666666667
1970-01-01 00:00:01.755519002+01:00,45.33333333333334,49.66666666666666,52.0,379.9666666666667
1970-01-01 00:00:01.755519012+01:00,57.0,62.0,63.0,415.19
1970-01-01 00:00:01.755519022+01:00,55.8,60.28571428571428,61.71428571428572,380.11
1970-01-01 00:00:01.755519032+01:00,61.66666666666666,69.66666666666667,67.0,533.5066666666667
1970-01-01 00:00:01.755519042+01:00,82.0,88.0,90.0,606.06
1970-01-01 00:00:01.755519052+01:00,74.0,81.66666666666667,84.0,518.71
1970-01-01 00:00:01.755519062+01:00,62.0,65.0,67.33333333333333,399.15
1970-01-01 00:00:01.755519072+01:00,51.5,56.77777777777778,59.66666666666666,371.93
1970-01-01 00:00:01.755519082+01:00,56.0,61.0,61.0,397.16
1970-01-01 00:00:01.755519092+01:00,57.14285714285715,63.0,60.71428571428572,464.3885714285714
1970-01-01 00:00:01.755519102+01:00,74.0,80.0,83.0,547.9
1970-01-01 00:00:01.755519112+01:00,76.33333333333333,81.33333333333333,83.66666666666667,594.4366666666667
1970-01-01 00:00:01.755519122+01:00,95.0,103.0,107.0,732.11
1970-01-01 00:00:01.755519132+01:00,94.28571428571428,102.2857142857143,106.5714285714286,732.71
1970-01-01 00:00:01.755519142+01:00,90.71428571428572,98.71428571428572,104.4285714285714,726.72
1970-01-01 00:00:01.755519152+01:00,87.14285714285714,95.14285714285714,102.2857142857143,682.8222222222222
1970-01-01 00:00:01.755519162+01:00,72.5,78.5,79.0,497.9
1970-01-01 00:00:01.755519172+01:00,65.0909090909091,74.0,74.73684210526316,498.05
1970-01-01 00:00:01.755519182+01:00,61.45454545454545,72.66666666666667,73.15789473684211,447.2566666666667
1970-01-01 00:00:01.755519192+01:00,70.0,76.0,80.0,510.78
1970-01-01 00:00:01.755519202+01:00,73.0,79.0,81.0,537.43
1970-01-01 00:00:01.755519212+01:00,71.0,76.5,78.0,481.21
1970-01-01 00:00:01.755519222+01:00,53.5,59.75,61.0,390.49
1970-01-01 00:00:01.755519232+01:00,57.86666666666667,60.55555555555556,62.55555555555556,401.5
1970-01-01 00:00:01.755519242+01:00,61.33333333333334,66.0,69.33333333333333,448.2
1970-01-01 00:00:01.755519252+01:00,67.0,73.66666666666667,76.33333333333333,606.0366666666666
1970-01-01 00:00:01.755519262+01:00,95.0,103.0,110.0,707.63
1970-01-01 00:00:01.755519272+01:00,92.5,100.0,104.5,672.38
1970-01-01 00:00:01.755519282+01:00,67.5,71.5,74.5,434.58
1970-01-01 00:00:01.755519292+01:00,74.0,80.0,82.0,530.69
1970-01-01 00:00:01.755519302+01:00,72.66666666666667,78.66666666666667,79.33333333333333,484.3033333333333
1970-01-01 00:00:01.755519312+01:00,50.0,53.5,54.5,334.13
1970-01-01 00:00:01.755519322+01:00,45.11111111111111,48.66666666666666,49.66666666666666,308.63
1970-01-01 00:00:01.755519332+01:00,42.33333333333334,46.8421052631579,47.8421052631579,287.77
1970-01-01 00:00:01.755519342+01:00,45.0,50.0,51.0,360.78
