time,irr_1_MAX_VALUE,irr_2_MAX_VALUE,irr_3_MAX_VALUE,irr_dav_1_MAX_VALUE
2025-09-04 05:00:00+02:00,0.0,0.0,0.0,9.231776773950688
2025-09-04 05:01:00+02:00,0.0,0.0,0.0,4.704665404040404
2025-09-04 05:02:00+02:00,0.0,0.0,0.0,12.008492063492064
2025-09-04 05:03:00+02:00,0.0,0.0,0.0,10.161666666666664
2025-09-04 05:04:00+02:00,0.0,0.0,0.0,11.244766009852215
2025-09-04 05:05:00+02:00,0.0,0.0,0.0,11.05645061728395
2025-09-04 05:06:00+02:00,0.0,0.0,0.0,4.391586538461538
2025-09-04 05:07:00+02:00,0.0,0.0,0.0,9.839023795300676
2025-09-04 05:08:00+02:00,0.0,0.0,0.0,7.593682795698925
2025-09-04 05:09:00+02:00,0.0,0.0,0.0,9.28898148148148
2025-09-04 05:10:00+02:00,0.0,0.0,0.0,7.300175653594771
2025-09-04 05:11:00+02:00,0.0,0.0,0.0,11.944659786721706
2025-09-04 05:12:00+02:00,0.0,0.0,0.0,9.340016291951777
2025-09-04 05:13:00+02:00,0.0,0.0,0.0,11.361290322580643
2025-09-04 05:14:00+02:00,0.0,0.0,0.0,5.33653634085213
2025-09-04 05:15:00+02:00,0.0,0.0,0.0,11.338849206349204
2025-09-04 05:16:00+02:00,0.0,0.0,0.0,12.653005291005291
2025-09-04 05:17:00+02:00,0.0,0.0,0.0,8.136484848484848
2025-09-04 05:18:00+02:00,0.0,0.0,0.0,6.38236111111111
2025-09-04 05:19:00+02:00,0.0,0.0,0.0,8.925095238095237
2025-09-04 05:20:00+02:00,0.0,0.0,0.0,9.34657738095238
2025-09-04 05:21:00+02:00,0.0,0.0,0.0,7.56988492063492
2025-09-04 05:22:00+02:00,0.0,0.0,0.0,10.677013888888888
2025-09-04 05:23:00+02:00,0.0,0.0,0.0,10.81254072681704
2025-09-04 05:24:00+02:00,0.0,0.0,0.0,7.523323412698413
2025-09-04 05:25:00+02:00,0.0,0.0,0.0,10.505537878787878
2025-09-04 05:26:00+02:00,0.0,0.0,0.0,8.387188552188553
2025-09-04 05:27:00+02:00,0.0,0.0,0.0,11.797598484848486
2025-09-04 05:28:00+02:00,0.0,0.0,0.0,7.931528846153846
2025-09-04 05:29:00+02:00,0.0,0.0,0.0,10.518148148148148
2025-09-04 05:30:00+02:00,0.0,0.0,0.0,8.008584656084656
2025-09-04 05:31:00+02:00,0.0,0.0,0.0,9.303257936507936
2025-09-04 05:32:00+02:00,0.0,0.0,0.0,10.637055555555555
2025-09-04 05:33:00+02:00,0.0,0.0,0.0,11.725776515151514
2025-09-04 05:34:00+02:00,0.0,0.0,0.0,10.318263888888888
2025-09-04 05:35:00+02:00,0.0,0.0,0.0,12.284913793103447
2025-09-04 05:36:00+02:00,0.0,0.0,0.0,10.35546783625731
2025-09-04 05:37:00+02:00,0.0,0.0,0.0,11.65573611111111
2025-09-04 05:38:00+02:00,0.0,0.0,0.0,10.483391934293095
2025-09-04 05:39:00+02:00,0.0,0.0,0.0,12.299836563307494
2025-09-04 05:40:00+02:00,0.0,0.0,0.0,10.46062962962963
2025-09-04 05:41:00+02:00,0.0,0.0,0.0,11.814533730158727
2025-09-04 05:42:00+02:00,0.0,0.0,0.0,12.376398809523808
2025-09-04 05:43:00+02:00,0.0,0.0,0.0,11.939322916666669
2025-09-04 05:44:00+02:00,0.0,0.0,0.0,10.552448653198653
2025-09-04 05:45:00+02:00,0.0,0.0,0.0,11.510642091648188
2025-09-04 05:46:00+02:00,0.0,0.0,0.0,9.062761130468449
2025-09-04 05:47:00+02:00,0.0,0.0,0.0,12.68114620467252
2025-09-04 05:48:00+02:00,0.0,0.0,0.0,11.55127435897436
2025-09-04 05:49:00+02:00,0.0,0.0,0.0,13.434580200501252
2025-09-04 05:50:00+02:00,0.0,0.0,0.0,13.403912927350428
2025-09-04 05:51:00+02:00,0.0,0.0,0.0,12.440531844316672
2025-09-04 05:52:00+02:00,0.0,0.0,0.0,13.221550925925923
2025-09-04 05:53:00+02:00,0.0,0.0,0.0,14.277727185649598
2025-09-04 05:54:00+02:00,0.0,0.0,0.0,14.287992212036327
2025-09-04 05:55:00+02:00,0.0,0.0,0.0,14.444393939393938
2025-09-04 05:56:00+02:00,0.0,0.0,0.0,9.922928030303032
2025-09-04 05:57:00+02:00,0.0,0.0,0.0,13.079947811447813
2025-09-04 05:58:00+02:00,0.0,0.0,0.0,13.715840982286636
2025-09-04 05:59:00+02:00,0.0,0.0,0.0,12.920304347826084
2025-09-04 06:00:00+02:00,0.0,0.0,0.0,16.869637992241252
2025-09-04 06:01:00+02:00,0.0,0.0,0.0,10.757930790960453
2025-09-04 06:02:00+02:00,0.028954045968657,0.0,0.0,14.392423903998598
2025-09-04 06:03:00+02:00,0.1867148083438085,0.1867148083438085,0.0,18.444014355742297
2025-09-04 06:04:00+02:00,0.2546183274527149,0.2546183274527149,0.0,20.63370098039216
2025-09-04 06:05:00+02:00,0.3391738478174514,0.3391738478174514,0.0,17.493537763638503
2025-09-04 06:06:00+02:00,0.442519753149531,0.442519753149531,0.0,17.217755758807588
2025-09-04 06:07:00+02:00,0.5667143582142085,0.5667143582142085,0.5667143582142085,22.838871212121216
2025-09-04 06:08:00+02:00,0.713687521423987,0.713687521423987,0.713687521423987,22.584483327181
2025-09-04 06:09:00+02:00,0.8851992875461575,0.8851992875461575,0.8851992875461575,25.3485443583118
2025-09-04 06:10:00+02:00,1.082806807172631,1.082806807172631,1.082806807172631,22.00681917211329
2025-09-04 06:11:00+02:00,1.3076245914136129,1.3076245914136129,1.3076245914136129,23.99084656084656
2025-09-04 06:12:00+02:00,1.558062361961405,1.558062361961405,1.558062361961405,24.375820105820107
2025-09-04 06:13:00+02:00,1.8365788018794715,1.8365788018794715,1.8365788018794715,21.78684135472371
2025-09-04 06:14:00+02:00,2.1435215996431904,2.1435215996431904,2.1435215996431904,21.73517948717949
2025-09-04 06:15:00+02:00,2.4789874691660314,2.4789874691660314,2.4789874691660314,22.16380687830688
2025-09-04 06:16:00+02:00,2.625651022936577,2.625651022936577,2.625651022936577,23.417677248677247
2025-09-04 06:17:00+02:00,2.9893107157597942,2.9893107157597942,2.9893107157597942,20.43798397435897
2025-09-04 06:18:00+02:00,3.378888106410043,3.378888106410043,3.378888106410043,23.160625
2025-09-04 06:19:00+02:00,3.793785373405013,3.793785373405013,3.793785373405013,26.56576388888889
2025-09-04 06:20:00+02:00,4.233267748825851,4.233267748825851,4.233267748825851,27.236764705882354
2025-09-04 06:21:00+02:00,4.696484623698384,4.696484623698384,4.696484623698384,25.868849206349207
2025-09-04 06:22:00+02:00,5.182489973807691,5.182489973807691,5.182489973807691,31.366136363636368
2025-09-04 06:23:00+02:00,5.690261685458048,5.690261685458048,5.690261685458048,28.45547288359789
2025-09-04 06:24:00+02:00,6.301679227114325,6.301679227114325,6.301679227114325,32.10469642857143
2025-09-04 06:25:00+02:00,7.004361167361,7.004361167361,7.004361167361,27.109113425925926
