time,power_reference.common@sensor_1:VALUE,power_hi.common@sensor_1:VALUE
2025-06-12 07:58:51,600.7333333333333,92.67722772277227
2025-06-12 07:59:51,633.0553333333334,93.03366336633663
2025-06-12 08:00:51,637.76,93.39009900990098
2025-06-12 08:01:51,647.0883333333334,93.74653465346533
2025-06-12 08:02:51,652.6733333333334,94.1029702970297
2025-06-12 08:03:51,652.8866666666667,94.45940594059405
2025-06-12 08:04:51,651.5966666666667,94.81584158415842
2025-06-12 08:05:51,654.8233333333334,95.0
2025-06-12 08:06:51,655.3025,95.0
2025-06-12 08:07:51,653.5333333333333,95.0
2025-06-12 08:08:51,659.3299999999999,95.0
2025-06-12 08:09:51,654.8233333333334,95.0
2025-06-12 08:10:51,660.455,95.0
2025-06-12 08:11:51,663.1922222222222,95.0
2025-06-12 08:12:51,664.3340740740741,95.0
2025-06-12 08:13:51,661.6388235294118,95.0
2025-06-12 08:14:51,667.3791666666666,95.0
2025-06-12 08:15:51,665.12,94.47727272727273
2025-06-12 08:16:51,672.2066666666667,93.79545454545455
2025-06-12 08:17:51,672.8488888888888,93.11363636363636
2025-06-12 08:18:51,669.4133333333334,92.43181818181819
2025-06-12 08:19:51,670.9133333333334,92.3
2025-06-12 08:20:51,682.1816666666666,88.57692307692308
2025-06-12 08:21:51,681.8633333333333,87.17065868263474
2025-06-12 08:22:51,690.2288888888888,87.70958083832336
2025-06-12 08:23:51,687.3036363636363,88.24850299401199
2025-06-12 08:24:51,689.585,88.78742514970061
2025-06-12 08:25:51,691.5250000000001,89.32634730538923
2025-06-12 08:26:51,700.02,89.86526946107784
2025-06-12 08:27:51,701.18,90.32608695652173
2025-06-12 08:28:51,705.04,90.76086956521739
2025-06-12 08:29:51,708.9,91.19565217391305
2025-06-12 08:30:51,724.36,91.6304347826087
2025-06-12 08:31:51,726.29,92.06521739130436
2025-06-12 08:32:51,712.77,92.5
2025-06-12 08:33:51,730.15,92.93478260869566
2025-06-12 08:34:51,726.29,93.35581395348837
2025-06-12 08:35:51,737.8766666666667,93.77441860465116
2025-06-12 08:36:51,729.5066666666667,94.19302325581396
2025-06-12 08:37:51,681.2166666666667,94.61162790697675
2025-06-12 08:38:51,609.1066666666667,95.03023255813955
2025-06-12 08:39:51,581.0966666666667,95.44883720930233
2025-06-12 08:40:51,570.47,95.86744186046512
2025-06-12 08:41:51,570.6877777777778,96.34943181818181
2025-06-12 08:42:51,583.9922222222222,96.86079545454545
2025-06-12 08:43:51,590.4361111111111,97.3721590909091
2025-06-12 08:44:51,588.985,97.88352272727273
2025-06-12 08:45:51,591.5595833333334,98.39488636363637
2025-06-12 08:46:51,591.7188888888888,98.90625
2025-06-12 08:47:51,595.5833333333334,99.34265734265735
2025-06-12 08:48:51,601.38,99.76223776223776
2025-06-12 08:49:51,608.1366666666667,100.1818181818182
2025-06-12 08:50:51,606.5266666666666,100.6013986013986
2025-06-12 08:51:51,605.6733333333334,101.020979020979
2025-06-12 08:52:51,611.6811111111111,101.4405594405594
2025-06-12 08:53:51,616.8299999999999,101.8601398601399
2025-06-12 08:54:51,625.8483333333334,102.4545454545455
2025-06-12 08:55:51,621.9866666666667,103.1363636363636
2025-06-12 08:56:51,623.9166666666666,103.8181818181818
2025-06-12 08:57:51,623.7718518518518,104.5
2025-06-12 08:58:51,649.8788888888889,103.5454545454545
2025-06-12 08:59:51,166.12,49.0
2025-06-12 09:00:51,676.5525,105.0
2025-06-12 09:01:51,562.1,101.4
2025-06-12 09:02:51,662.5459999999999,106.7894736842105
2025-06-12 09:03:51,669.31,107.8421052631579
2025-06-12 09:04:51,674.7800000000001,108.8947368421053
2025-06-12 09:05:51,670.27,108.4255319148936
2025-06-12 09:06:51,683.79,107.7872340425532
2025-06-12 09:07:51,674.14,107.1489361702128
2025-06-12 09:08:51,689.59,106.5106382978723
2025-06-12 09:09:51,701.18,107.0
2025-06-12 09:10:51,693.4549999999999,109.734375
2025-06-12 09:11:51,691.9488888888889,108.5
2025-06-12 09:12:51,448.1333333333333,83.66666666666667
2025-06-12 09:13:51,435.26,84.0
2025-06-12 09:14:51,680.5766666666667,109.5294117647059
2025-06-12 09:15:51,669.4133333333334,107.4358974358974
2025-06-12 09:16:51,680.25,108.974358974359
2025-06-12 09:17:51,702.4666666666667,110.4166666666667
2025-06-12 09:18:51,716.116,111.6666666666667
2025-06-12 09:19:51,719.8499999999999,112.9166666666667
2025-06-12 09:20:51,520.8933333333333,89.0
2025-06-12 09:21:51,165.4766666666667,47.5625
2025-06-12 09:22:51,168.0533333333333,49.63076923076923
2025-06-12 09:23:51,727.58,112.5238095238095
2025-06-12 09:24:51,707.6133333333333,111.9166666666667
2025-06-12 09:25:51,704.79875,106.9166666666667
2025-06-12 09:26:51,706.3266666666666,111.4634146341463
2025-06-12 09:27:51,702.6274999999999,112.9268292682927
2025-06-12 09:28:51,696.610303030303,113.1578947368421
2025-06-12 09:29:51,711.4833333333333,112.3571428571429
2025-06-12 09:30:51,756.6428571428571,116.5813953488372
2025-06-12 09:31:51,749.47,95.0
2025-06-12 09:32:51,202.82,59.28571428571428
2025-06-12 09:33:51,297.47,66.2
2025-06-12 09:34:51,656.75,101.0
2025-06-12 09:35:51,734.02,115.8846153846154
2025-06-12 09:36:51,731.2222222222223,114.7307692307692
2025-06-12 09:37:51,720.49,113.5769230769231
2025-06-12 09:38:51,723.1999999999999,113.2542372881356
2025-06-12 09:39:51,724.355,114.271186440678
2025-06-12 09:40:51,732.08,115.2881355932203
2025-06-12 09:41:51,750.6279999999999,116.7826086956522
