time,power_reference.common@sensor_1:VALUE,power_hi.common@sensor_1:VALUE
2025-06-12 07:58:51,600.7333333333333,146.8835341365462
2025-06-12 07:59:51,633.0553333333334,147.3654618473896
2025-06-12 08:00:51,637.76,147.8473895582329
2025-06-12 08:01:51,647.0883333333334,149.6078431372549
2025-06-12 08:02:51,652.6733333333334,150.9009009009009
2025-06-12 08:03:51,652.8866666666667,151.981981981982
2025-06-12 08:04:51,651.5966666666667,153.3111111111111
2025-06-12 08:05:51,654.8233333333334,153.1212121212121
2025-06-12 08:06:51,655.3025,152.1678832116788
2025-06-12 08:07:51,653.5333333333333,152.6058394160584
2025-06-12 08:08:51,659.3299999999999,153.0437956204379
2025-06-12 08:09:51,654.8233333333334,153.4817518248175
2025-06-12 08:10:51,660.455,153.9197080291971
2025-06-12 08:11:51,663.1922222222222,154.3798449612403
2025-06-12 08:12:51,664.3340740740741,154.8449612403101
2025-06-12 08:13:51,661.6388235294118,155.3100775193799
2025-06-12 08:14:51,667.3791666666666,155.7751937984496
2025-06-12 08:15:51,665.12,154.2469135802469
2025-06-12 08:16:51,672.2066666666667,155.7283950617284
2025-06-12 08:17:51,672.8488888888888,154.6933333333333
2025-06-12 08:18:51,669.4133333333334,154.2666666666667
2025-06-12 08:19:51,670.9133333333334,146.6666666666667
2025-06-12 08:20:51,682.1816666666666,136.3333333333333
2025-06-12 08:21:51,681.8633333333333,136.5555555555555
2025-06-12 08:22:51,690.2288888888888,137.4262295081967
2025-06-12 08:23:51,687.3036363636363,137.9180327868852
2025-06-12 08:24:51,689.585,138.4098360655738
2025-06-12 08:25:51,691.5250000000001,138.9016393442623
2025-06-12 08:26:51,700.02,140.3333333333333
2025-06-12 08:27:51,701.18,141.8888888888889
2025-06-12 08:28:51,705.04,143.2857142857143
2025-06-12 08:29:51,708.9,144.4285714285714
2025-06-12 08:30:51,724.36,145.6896551724138
2025-06-12 08:31:51,726.29,147.0363636363636
2025-06-12 08:32:51,712.77,147.7636363636364
2025-06-12 08:33:51,730.15,148.4909090909091
2025-06-12 08:34:51,726.29,149.8
2025-06-12 08:35:51,737.8766666666667,153.1503267973856
2025-06-12 08:36:51,729.5066666666667,153.5424836601307
2025-06-12 08:37:51,681.2166666666667,153.9346405228758
2025-06-12 08:38:51,609.1066666666667,154.3267973856209
2025-06-12 08:39:51,581.0966666666667,154.718954248366
2025-06-12 08:40:51,570.47,155.8717948717949
2025-06-12 08:41:51,570.6877777777778,158.6888888888889
2025-06-12 08:42:51,583.9922222222222,161.2539682539683
2025-06-12 08:43:51,590.4361111111111,163.077519379845
2025-06-12 08:44:51,588.985,164.0077519379845
2025-06-12 08:45:51,591.5595833333334,164.937984496124
2025-06-12 08:46:51,591.7188888888888,166.2727272727273
