time,irr_1_MAX_VALUE,irr_2_MAX_VALUE,irr_3_MAX_VALUE,irr_dav_1_MAX_VALUE
2025-09-04 05:00:00+02:00,0.0,0.0,0.0,9.231776773950687
2025-09-04 05:01:00+02:00,0.0,0.0,0.0,4.704665404040404
2025-09-04 05:02:00+02:00,0.0,0.0,0.0,12.008492063492064
2025-09-04 05:03:00+02:00,0.0,0.0,0.0,10.161666666666665
2025-09-04 05:04:00+02:00,0.0,0.0,0.0,11.244766009852215
2025-09-04 05:05:00+02:00,0.0,0.0,0.0,11.05645061728395
2025-09-04 05:06:00+02:00,0.0,0.0,0.0,4.391586538461538
2025-09-04 05:07:00+02:00,0.0,0.0,0.0,9.839023795300676
2025-09-04 05:08:00+02:00,0.0,0.0,0.0,7.593682795698925
2025-09-04 05:09:00+02:00,0.0,0.0,0.0,9.28898148148148
2025-09-04 05:10:00+02:00,0.0,0.0,0.0,7.300175653594771
2025-09-04 05:11:00+02:00,0.0,0.0,0.0,11.944659786721706
2025-09-04 05:12:00+02:00,0.0,0.0,0.0,9.340016291951775
2025-09-04 05:13:00+02:00,0.0,0.0,0.0,11.361290322580643
2025-09-04 05:14:00+02:00,0.0,0.0,0.0,5.33653634085213
2025-09-04 05:15:00+02:00,0.0,0.0,0.0,11.338849206349204
2025-09-04 05:16:00+02:00,0.0,0.0,0.0,12.653005291005291
2025-09-04 05:17:00+02:00,0.0,0.0,0.0,8.136484848484848
2025-09-04 05:18:00+02:00,0.0,0.0,0.0,6.38236111111111
2025-09-04 05:19:00+02:00,0.0,0.0,0.0,8.925095238095237
2025-09-04 05:20:00+02:00,0.0,0.0,0.0,9.34657738095238
2025-09-04 05:21:00+02:00,0.0,0.0,0.0,7.56988492063492
2025-09-04 05:22:00+02:00,0.0,0.0,0.0,10.677013888888888
2025-09-04 05:23:00+02:00,0.0,0.0,0.0,10.81254072681704
2025-09-04 05:24:00+02:00,0.0,0.0,0.0,7.523323412698413
2025-09-04 05:25:00+02:00,0.0,0.0,0.0,10.505537878787878
2025-09-04 05:26:00+02:00,0.0,0.0,0.0,8.387188552188553
2025-09-04 05:27:00+02:00,0.0,0.0,0.0,11.797598484848486
2025-09-04 05:28:00+02:00,0.0,0.0,0.0,7.931528846153846
2025-09-04 05:29:00+02:00,0.0,0.0,0.0,10.518148148148148
