time,watt_hi.common@irr_1:['MAX_VALUE'],watt_hi.common@irr_2:['MAX_VALUE'],watt_hi.common@irr_3:['MAX_VALUE'],watt.common@irr_dav_1:['MAX_VALUE']
1755752645,8.543889845094665,8.0,9.206540447504304,107.2058333333333
1755752650,8.552495697074011,8.0,9.215146299483651,109.6204166666667
1755752655,8.561101549053358,8.0,9.223752151462996,112.035
1755752660,8.569707401032703,8.0,9.232358003442343,114.4495833333333
1755752665,8.578313253012048,8.0,9.240963855421688,116.8641666666667
1755752670,8.586919104991395,8.0,9.249569707401035,117.83
1755752675,8.595524956970742,8.0,9.25817555938038,108.31
1755752680,8.604130808950087,8.0,9.266781411359727,110.035
1755752685,8.612736660929432,8.0,9.275387263339072,111.76
1755752690,8.621342512908779,8.0,9.283993115318419,113.485
1755752695,8.629948364888126,8.0,9.292598967297764,115.21
1755752700,8.63855421686747,8.0,9.30120481927711,115.9
1755752705,8.647160068846816,8.0,9.309810671256455,108.655
1755752710,8.655765920826163,8.0,9.318416523235802,111.2071428571429
1755752715,8.66437177280551,8.0,9.327022375215147,113.9666666666667
1755752720,8.672977624784854,8.0,9.335628227194494,116.7261904761905
1755752725,8.6815834767642,8.0,9.34423407917384,117.83
1755752730,8.690189328743546,8.0,9.352839931153186,113.9666666666667
1755752735,8.698795180722893,8.0,9.361445783132531,117.83
1755752740,8.707401032702238,8.0,9.370051635111878,107.8942857142857
1755752745,8.716006884681583,8.0,9.378657487091223,117.83
1755752750,8.72461273666093,8.0,9.38726333907057,113.9666666666667
1755752755,8.733218588640277,8.0,9.395869191049915,106.6572972972973
1755752760,8.741824440619622,8.0,9.404475043029262,106.9181081081081
1755752765,8.750430292598967,8.0,9.413080895008607,107.1789189189189
1755752770,8.759036144578314,8.0,9.421686746987953,107.4397297297297
1755752775,8.76764199655766,8.0,9.430292598967299,107.7005405405405
1755752780,8.776247848537006,8.0,9.438898450946645,107.9613513513514
1755752785,8.78485370051635,8.0,9.44750430292599,108.17
1755752790,8.793459552495698,8.0,9.456110154905337,117.83
1755752795,8.802065404475044,8.0,9.464716006884682,117.83
1755752800,8.81067125645439,8.0,9.473321858864029,106.5157142857143
1755752805,8.819277108433734,8.0,9.481927710843374,106.7126530612245
1755752810,8.827882960413081,8.0,9.490533562822721,106.9095918367347
1755752815,8.836488812392428,8.0,9.499139414802066,107.1065306122449
