time,solar_irradiance.common@meteo_1:VALUE,solar_irradiance.common@meteo_2:VALUE,watt_hi.common@irr_1:VALUE,watt_hi.common@irr_2:VALUE,watt_hi.common@irr_3:VALUE,watt.common@irr_dav_1:VALUE,power_reference.common@sensor_1:VALUE
2025-07-11 09:50:43,110.81,111.572,22.8,22.18181818181818,22.28571428571428,101.1,99.53285714285714
2025-07-11 09:52:43,68.0,76.259375,14.09615384615385,12.66666666666667,14.09090909090909,61.60666666666667,62.80666666666666
2025-07-11 09:54:43,79.89,77.32875,17.13513513513514,16.47058823529412,16.81081081081081,74.42666666666666,73.91571428571429
2025-07-11 09:56:43,88.33,87.04,18.50261780104712,17.93939393939394,18.72592592592592,82.96833333333333,82.55186046511628
2025-07-11 09:58:43,84.634,86.44941176470589,19.75916230366492,19.30054644808743,19.61481481481481,82.41783783783784,83.58411764705882
2025-07-11 10:00:43,110.545,112.0426315789474,23.64705882352941,21.76271186440678,21.61111111111111,103.8066666666667,103.4223076923077
2025-07-11 10:02:43,102.85,107.6076470588235,22.4,21.76623376623377,22.0,99.03,98.53999999999999
2025-07-11 10:04:43,119.7114285714286,124.728125,24.41935483870968,24.84210526315789,24.08080808080808,112.1052631578947,112.645
2025-07-11 10:06:43,124.9633333333333,125.5728571428571,27.78947368421053,25.69230769230769,26.57039711191336,119.5366666666667,118.79
2025-07-11 10:08:43,127.3264705882353,128.785,26.2258064516129,27.12871287128713,27.43682310469314,120.66,119.0204838709677
2025-07-11 10:10:43,139.265,149.84,28.27027027027027,26.35897435897436,27.88888888888889,126.9566666666667,127.5857575757576
2025-07-11 10:12:43,132.716,137.1932,26.63095238095238,24.68604651162791,27.03296703296703,123.4236363636364,121.5888
2025-07-11 10:14:43,113.0953333333333,121.56,23.91143911439114,22.03225806451613,23.32941176470588,106.3388888888889,106.6775
2025-07-11 10:16:43,110.7154838709677,113.631875,23.02583025830258,21.65591397849462,22.15217391304348,102.767619047619,103.0563043478261
2025-07-11 10:18:43,110.4457894736842,117.2593333333333,22.14022140221402,20.36559139784946,22.37209302325581,102.5507692307692,102.729
2025-07-11 10:20:43,109.9764516129032,114.3636842105263,22.88135593220339,20.94623655913978,20.72727272727273,101.9105405405406,100.911724137931
2025-07-11 10:22:43,95.17276595744681,97.48413793103448,19.75690607734807,19.15083798882682,19.39130434782609,89.16666666666667,89.50135135135135
2025-07-11 10:24:43,90.5425,92.7496875,18.43093922651934,18.08212560386474,18.08695652173913,84.60368421052632,84.5341935483871
2025-07-11 10:26:43,87.68272727272728,90.30774193548388,18.46551724137931,18.66183574879227,18.58485639686684,80.44655629139073,80.4891186440678
2025-07-11 10:28:43,86.7403144654088,87.04406250000001,19.1551724137931,19.24154589371981,19.21148825065274,80.81,82.04301694915254
2025-07-11 10:30:43,88.49880503144654,88.90545454545455,19.8448275862069,19.82125603864734,19.83812010443864,82.92328125,83.59691525423729
2025-07-11 10:32:43,109.4635384615385,112.4133333333333,23.62790697674419,22.84671532846715,23.4945054945055,99.22015384615385,100.7737333333333
2025-07-11 10:34:43,124.9086206896552,133.0507692307692,24.98591549295775,23.0,25.03333333333333,115.32,113.6272093023256
2025-07-11 10:36:43,119.81,118.5782352941176,25.07317073170732,24.10362694300518,24.2010582010582,110.3872727272727,109.7755
2025-07-11 10:38:43,119.1817647058824,120.468064516129,25.02415458937198,25.34715025906736,25.47089947089947,110.26,113.8407784431138
2025-07-11 10:40:43,112.9461764705882,115.54,24.45901639344262,22.3265306122449,22.18181818181818,102.2677777777778,104.2348648648649
2025-07-11 10:42:43,125.492,132.715,25.91666666666667,24.33846153846154,24.3953488372093,115.72,116.2283333333333
2025-07-11 10:44:43,122.270625,124.532,26.09459459459459,25.18181818181818,25.96190476190476,114.5311111111111,114.23375
2025-07-11 10:46:43,125.86,129.3915094339623,27.71621621621622,27.43661971830986,27.61643835616438,117.4545762711864,118.3993023255814
2025-07-11 10:48:43,119.9207692307692,130.47,25.02702702702703,23.91836734693878,24.42857142857143,110.5966666666667,110.8466666666667
2025-07-11 10:50:43,99.00134020618557,101.9202127659574,20.99130434782609,19.33898305084746,20.88695652173913,92.94831168831169,93.57433333333333
2025-07-11 10:52:43,85.72096774193548,86.8948,18.34074074074074,18.48520710059172,18.44444444444444,80.6384,81.48777777777778
2025-07-11 10:54:43,95.56888888888889,92.39933333333333,20.47058823529412,19.90532544378698,20.36363636363636,89.592,89.34666666666666
2025-07-11 10:56:43,97.52,100.803125,20.37362637362637,20.84210526315789,20.45833333333333,89.71780487804878,92.2778947368421
2025-07-11 10:58:43,106.1844117647059,107.2830303030303,22.44019138755981,21.74436090225564,22.40888888888889,96.9739024390244,96.89384615384616
2025-07-11 11:00:43,103.228,102.42625,23.58851674641148,20.69767441860465,23.47555555555556,96.16731707317074,96.27365853658537
2025-07-11 11:02:43,109.395625,113.48875,22.34408602150538,21.30566037735849,22.20588235294118,100.5318181818182,100.9966666666667
2025-07-11 11:04:43,107.5536842105263,110.1422222222222,20.81818181818182,20.4,20.73743016759776,98.22909090909091,97.98023255813953
2025-07-11 11:06:43,94.48258064516129,95.15,19.65090909090909,19.37383177570094,19.51351351351351,88.025,87.67597633136096
2025-07-11 11:08:43,93.38987654320988,97.87074074074074,18.77818181818182,18.25233644859813,18.43243243243243,85.45500000000001,85.38958579881657
2025-07-11 11:10:43,85.5275,88.3816923076923,17.16129032258064,16.21153846153846,16.32558139534884,76.99333333333334,76.94333333333333
2025-07-11 11:12:43,73.43333333333332,71.60266666666666,15.86842105263158,15.75257731958763,15.875,68.31,68.5464935064935
2025-07-11 11:14:43,78.604,81.07307692307693,14.58024691358025,14.54054054054054,14.58024691358025,71.75,69.65546875
2025-07-11 11:16:43,99.62714285714286,83.68375,19.8,19.66666666666667,19.8,89.62,88.444
2025-07-11 11:18:43,173.5766666666667,179.7164705882353,35.9375,33.88888888888889,35.98545454545454,158.4455555555556,158.1023529411765
2025-07-11 11:20:43,172.022,175.0617142857143,35.10416666666666,33.10457516339869,35.11272727272727,161.2005882352941,161.3802094240838
2025-07-11 11:22:43,172.2357142857143,172.94859375,34.27083333333334,32.3202614379085,34.24,161.2398360655738,160.395
2025-07-11 11:24:43,153.6051851851852,155.1030303030303,31.696,30.92424242424243,31.28378378378378,146.0647169811321,146.5255882352941
2025-07-11 11:26:43,150.4957446808511,150.1642857142857,30.736,31.35632183908046,31.31578947368421,141.0110204081633,142.5272131147541
2025-07-11 11:28:43,126.6276923076923,133.91625,26.125,25.52,25.94174757281553,117.7857142857143,118.6771428571429
2025-07-11 11:30:43,107.9066666666667,112.5733333333333,22.33333333333333,22.16393442622951,22.09523809523809,103.57,104.0016666666667
2025-07-11 11:32:43,165.34,167.7286363636364,33.56,33.48837209302326,33.51111111111111,153.1737037037037,153.6007142857143
2025-07-11 11:34:43,146.45,145.7,31.08108108108108,29.96774193548387,31.14285714285714,140.0933333333333,139.9131818181818
2025-07-11 11:36:43,150.3917699115044,152.6038541666667,30.52857142857143,29.48387096774194,30.48920863309353,144.298947368421,140.6677443609022
2025-07-11 11:38:43,147.114375,144.893125,31.72916666666667,29.0,31.68627450980392,141.581,141.2282352941176
2025-07-11 11:40:43,150.2694736842105,152.41,30.93532338308458,28.51612903225806,30.93333333333333,142.66,143.2355555555555
2025-07-11 11:42:43,141.0891666666667,142.54,28.79069767441861,28.03225806451613,28.73913043478261,134.33,134.444
2025-07-11 11:44:43,119.3928205128205,119.26,24.91044776119403,23.5906432748538,24.92086330935252,114.0496610169492,114.2723456790123
2025-07-11 11:46:43,112.1,113.34,22.7578947368421,22.18713450292397,22.83333333333333,107.0781818181818,107.1582352941176
2025-07-11 11:48:43,103.9471328671329,106.8664,21.45806451612903,20.96517412935323,21.47194719471947,99.45266666666667,98.9511851851852
2025-07-11 11:50:43,100.0984496124031,101.8983333333333,20.68387096774194,19.73714285714286,20.67986798679868,93.68728070175439,93.79487804878049
2025-07-11 11:52:43,95.47533333333334,98.82125,20.08092485549133,18.36571428571429,20.09742120343839,89.12333333333333,89.39444444444445
2025-07-11 11:54:43,101.13,103.0417647058823,20.77456647398844,19.90909090909091,20.78510028653295,93.17023255813953,93.94276699029126
2025-07-11 11:56:43,101.6548101265823,102.55125,21.46820809248555,19.7032590051458,21.47277936962751,93.5379020979021,92.96121359223301
