time,poa_global,poa_direct,poa_diffuse,poa_sky_diffuse,poa_ground_diffuse
2025-09-04 05:00:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:01:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:02:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:03:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:04:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:05:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:06:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:07:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:08:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:09:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:10:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:11:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:12:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:13:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:14:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:15:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:16:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:17:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:18:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:19:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:20:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:21:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:22:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:23:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:24:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:25:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:26:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:27:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:28:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:29:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:30:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:31:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:32:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:33:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:34:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:35:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:36:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:37:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:38:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:39:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:40:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:41:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:42:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:43:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:44:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:45:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:46:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:47:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:48:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:49:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:50:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:51:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:52:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:53:00+02:00,0.0,0.0,0.0,0.0,0.0
2025-09-04 05:54:00+02:00,0.0,0.0,0.0,0.0,0.0
